Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.6190476190476191,0.1017330374542646,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,correlation,0.28484848484848485,0.42503815489214547,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,selectivity,0.8145934285312865,0.004106131521831071,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,correlation,0.23636363636363633,0.5108853175152002,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,Post_Hardness,-0.9151515151515152,0.0002044724061488323,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,selectivity,0.6200636545536659,0.05582263340222193,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,correlation,0.29696969696969694,0.4047016712701569,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,selectivity,0.8997002046464955,0.00039167359562948393,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,correlation,-0.05454545454545454,0.8810361811618526,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,Post_Hardness,0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,selectivity,-0.9665698144513026,5.248115668648561e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,correlation,-0.10303030303030303,0.7769984634438898,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9833333333333333,1.9361963037459243e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,selectivity,-0.395138603392042,0.25841872523187825,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,correlation,-0.006060606060606061,0.9867429111949892,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.7,0.03576957497026169,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.6200636545536659,0.05582263340222193,0
